Circuit,Model,Complexity,PromptOnly_Correct,MermaidOnly_Correct,Combined_Correct,PromptOnly_LOC,MermaidOnly_LOC,Combined_LOC,PromptOnly_Time,MermaidOnly_Time,Combined_Time,Best_Approach,Correctness_Ranking,Simulation_Ranking
combined,claude,simple,Yes,Yes,Yes,51,75,57,5.58s,11.93s,6.16s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,44,50,49,4.00s,9.38s,4.13s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,No,Yes,N/A,53,74,84,4.73s,9.68s,7.97s,mermaid_only,mermaid_only > prompt_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,No,No,No,54,54,54,3.21s,6.04s,2.72s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,N/A,52,65,84,4.52s,9.06s,7.84s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,52,52,52,3.53s,4.88s,4.91s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,50,72,72,4.60s,8.98s,5.84s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,46,70,69,3.84s,6.70s,2.38s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,simple,Yes,Yes,Yes,61,73,61,5.83s,11.67s,7.05s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,simple,Yes,Yes,Yes,60,64,65,4.52s,7.46s,4.37s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,66,84,79,6.66s,12.72s,8.67s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,Yes,Yes,55,72,64,4.92s,10.65s,7.06s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,N/A,66,82,64,5.66s,11.46s,5.95s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,No,No,56,69,73,4.37s,10.28s,11.12s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,N/A,92,100,80,9.03s,12.59s,7.34s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,No,No,84,98,104,8.11s,11.81s,11.04s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,Yes,Yes,71,69,72,7.40s,9.90s,6.57s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,No,No,No,67,65,66,4.79s,7.20s,3.87s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,medium,Yes,No,Yes,68,82,75,5.98s,13.55s,7.44s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,medium,Yes,Yes,Yes,60,80,83,4.68s,9.46s,10.60s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,N/A,N/A,126,153,128,12.34s,18.01s,12.03s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,No,124,110,123,8.85s,9.97s,8.48s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,No,N/A,N/A,136,156,149,13.00s,19.40s,13.66s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,No,113,104,138,25.11s,11.05s,16.55s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,Yes,No,Yes,96,84,94,10.03s,12.65s,10.73s,tie,prompt_only > combined > mermaid_only,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,No,No,Yes,82,83,89,8.35s,12.65s,8.76s,combined,combined > prompt_only > mermaid_only,prompt_only > mermaid_only > combined
combined,claude,complex,N/A,N/A,N/A,80,83,85,6.50s,12.17s,7.69s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,gpt-4o,complex,Yes,Yes,Yes,79,88,74,4.00s,9.70s,5.67s,tie,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
combined,claude,complex,No,N/A,N/A,124,145,139,12.13s,19.89s,13.62s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > combined > mermaid_only
combined,gpt-4o,complex,No,No,N/A,89,101,117,9.15s,9.35s,9.21s,prompt_only,prompt_only > mermaid_only > combined,prompt_only > mermaid_only > combined
